trade_id,trade_date,trader,desk,product_type,counterparty,buy_sell,quantity,price,notional_value,trade_status,amendment_flag,cancellation_flag,booking_datetime,amendment_datetime,settlement_date
T00011,2026-01-01 00:00:00,Courtney Wagner,Equities,Equity,Nguyen Group,Buy,8777,209.95,1842731.15,Booked,False,False,2026-01-01 13:42:00,,2026-01-02 00:00:00
T00012,2026-01-01 00:00:00,Kevin Gutierrez,Equities,Option,Powell Clark and Lopez,Sell,993,196.47,195094.71,Booked,False,False,2026-01-01 13:45:00,,2026-01-02 00:00:00
T00013,2026-01-01 00:00:00,Kevin Gutierrez,Equities,Option,Nguyen Group,Buy,2925,280.2,819585.0,Booked,False,False,2026-01-01 13:51:00,,2026-01-02 00:00:00
T00014,2026-01-01 00:00:00,Eddie Hernandez,Credit,Swap,Foster Jones and Reed,Buy,5,800307.05,4001535.25,Amended,True,False,2026-01-01 14:02:00,2026-01-02 15:30:00,2026-01-05 00:00:00
T00015,2026-01-01 00:00:00,Raymond Williams,FX,FX Forward,Foster Jones and Reed,Buy,2875572,0.8779,2524464.66,Cancelled,True,True,2026-01-01 14:03:00,2026-01-01 14:48:00,2026-01-30 00:00:00
T00016,2026-01-01 00:00:00,Sarah Silva,Rates,Bond,Bishop LLC,Sell,191691,92.782,17785474.36,Booked,False,False,2026-01-01 14:09:00,,2026-01-02 00:00:00
T00017,2026-01-01 00:00:00,Tracy Hayes,Rates,Bond,Mcconnell-Fisher,Buy,15044,109.723,1650672.81,Booked,False,False,2026-01-01 14:39:00,,2026-01-02 00:00:00
T00018,2026-01-01 00:00:00,Joshua Stevenson,Credit,Bond,Wright and Sons,Buy,25995,98.448,2559155.76,Booked,False,False,2026-01-01 15:21:00,,2026-01-02 00:00:00
T00019,2026-01-01 00:00:00,Tracy Hayes,Rates,Bond,Sullivan-Baxter,Buy,26358,104.6,2757046.8,Amended,True,False,2026-01-01 15:50:00,2026-01-01 17:32:00,2026-01-02 00:00:00
T00020,2026-01-01 00:00:00,Courtney Wagner,Equities,Equity,Miranda and Sons,Buy,1281,81.32,104170.92,Booked,False,False,2026-01-01 16:04:00,,2026-01-02 00:00:00
T00021,2026-01-01 00:00:00,Sarah Silva,Rates,Swap,Wright and Sons,Sell,7,802158.72,5615111.04,Booked,False,False,2026-01-01 16:59:00,,2026-01-05 00:00:00
T00022,2026-01-01 00:00:00,Pamela Hahn,FX,FX Forward,Morales-Woodard,Buy,10502818,1.264,13275561.95,Booked,False,False,2026-01-01 17:55:00,,2026-03-02 00:00:00
T00023,2026-01-01 00:00:00,Kevin Gutierrez,Equities,Equity,Stanton-Wilkinson,Buy,4848,443.25,2148876.0,Booked,False,False,2026-01-01 19:03:00,,2026-01-02 00:00:00
T00024,2026-01-02 00:00:00,Raymond Williams,FX,FX Forward,Mitchell-Rodgers,Sell,1208074,0.9738,1176422.46,Booked,False,False,2026-01-02 08:42:00,,2026-02-02 00:00:00
T00025,2026-01-02 00:00:00,Margaret Arellano,Commodities,Swap,Larsen Ray and Young,Sell,6,859839.97,5159039.82,Booked,False,False,2026-01-02 09:43:00,,2026-01-06 00:00:00
T00026,2026-01-02 00:00:00,Sarah Silva,Rates,Bond,Chang-Peterson,Sell,55078,111.551,6144005.98,Booked,False,False,2026-01-02 10:01:00,,2026-01-05 00:00:00
T00027,2026-01-02 00:00:00,Tracy Hayes,Rates,Swap,Stanton-Wilkinson,Buy,37,389711.56,14419327.72,Booked,False,False,2026-01-02 10:10:00,,2026-01-06 00:00:00
T00028,2026-01-02 00:00:00,Courtney Wagner,Equities,Option,Foster Jones and Reed,Sell,1407,711.88,1001615.16,Amended,True,False,2026-01-02 10:28:00,2026-01-05 09:30:00,2026-01-05 00:00:00
T00029,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Lee PLC,Sell,1694421,1.3653,2313392.99,Booked,False,False,2026-01-02 10:47:00,,2026-03-03 00:00:00
T00030,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Sullivan-Baxter,Sell,3474351,1.5807,5491906.63,Booked,False,False,2026-01-02 10:48:00,,2026-03-03 00:00:00
T00031,2026-01-02 00:00:00,David Williams,Equities,Equity,Foster Jones and Reed,Sell,10592,359.59,3808777.28,Booked,False,False,2026-01-02 11:54:00,,2026-01-05 00:00:00
T00032,2026-01-02 00:00:00,Eddie Hernandez,Credit,Bond,Chang-Peterson,Sell,42322,91.303,3864125.57,Booked,False,False,2026-01-02 12:04:00,,2026-01-05 00:00:00
T00033,2026-01-02 00:00:00,Tracy Hayes,Rates,Bond,Sullivan-Baxter,Buy,31529,105.168,3315841.87,Booked,False,False,2026-01-02 12:20:00,,2026-01-05 00:00:00
T00034,2026-01-02 00:00:00,Natalie Castillo,Rates,Bond,Mclaughlin PLC,Buy,7676,97.888,751388.29,Amended,True,False,2026-01-02 12:39:00,2026-01-02 16:25:00,2026-01-05 00:00:00
T00035,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Foster Jones and Reed,Sell,2406377,1.1258,2709099.23,Booked,False,False,2026-01-02 12:59:00,,2026-04-01 00:00:00
T00036,2026-01-02 00:00:00,Kevin Gutierrez,Equities,Equity,Larsen Ray and Young,Buy,8476,438.99,3720879.24,Booked,False,False,2026-01-02 13:38:00,,2026-01-05 00:00:00
T00037,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Fernandez-Ferguson,Sell,2888063,1.2752,3682857.94,Booked,False,False,2026-01-02 13:46:00,,2026-04-01 00:00:00
T00038,2026-01-02 00:00:00,Dylan Lopez,FX,FX Forward,Stanton-Wilkinson,Sell,3931616,1.1059,4347974.13,Booked,False,False,2026-01-02 13:53:00,,2026-02-02 00:00:00
T00039,2026-01-02 00:00:00,Courtney Wagner,Equities,Equity,Crawford-Garrett,Sell,2187,253.84,555148.08,Booked,False,False,2026-01-02 13:58:00,,2026-01-05 00:00:00
T00040,2026-01-02 00:00:00,Sarah Silva,Rates,Bond,Lee PLC,Buy,44019,89.728,3949736.83,Booked,False,False,2026-01-02 14:03:00,,2026-01-05 00:00:00
T00041,2026-01-02 00:00:00,Dylan Lopez,FX,FX Forward,Lee PLC,Sell,3928428,0.9717,3817253.49,Booked,False,False,2026-01-02 14:04:00,,2026-03-03 00:00:00
T00042,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Sullivan-Baxter,Buy,1431344,1.2636,1808646.28,Booked,False,False,2026-01-02 14:11:00,,2026-03-03 00:00:00
T00043,2026-01-02 00:00:00,Dylan Lopez,FX,FX Forward,Bishop LLC,Buy,6844780,1.1261,7707906.76,Booked,False,False,2026-01-02 14:35:00,,2026-04-01 00:00:00
T00044,2026-01-02 00:00:00,Pamela Hahn,FX,FX Forward,Stanton-Wilkinson,Sell,2405688,1.0335,2486278.55,Booked,False,False,2026-01-02 15:00:00,,2026-04-01 00:00:00
T00045,2026-01-02 00:00:00,David Williams,Equities,Equity,Mitchell-Rodgers,Sell,640,257.54,164825.6,Booked,False,False,2026-01-02 15:21:00,,2026-01-05 00:00:00
T00046,2026-01-02 00:00:00,Sarah Silva,Rates,Swap,Wright and Sons,Buy,18,818289.03,14729202.54,Booked,False,False,2026-01-02 15:32:00,,2026-01-06 00:00:00
T00047,2026-01-02 00:00:00,Tracy Hayes,Rates,Bond,Anthony-Baker,Buy,10384,105.495,1095460.08,Amended,True,False,2026-01-02 15:38:00,2026-01-21 14:39:00,2026-01-05 00:00:00
T00048,2026-01-02 00:00:00,Kevin Gutierrez,Equities,Option,Dominguez and Sons,Sell,1404,534.95,751069.8,Booked,False,False,2026-01-02 15:44:00,,2026-01-05 00:00:00
T00049,2026-01-02 00:00:00,Raymond Williams,FX,Option,Fernandez-Ferguson,Buy,312,1133.97,353798.64,Booked,False,False,2026-01-02 17:23:00,,2026-01-05 00:00:00
T00050,2026-01-02 00:00:00,Joshua Wilson,Commodities,Swap,Bishop LLC,Sell,10,628523.44,6285234.4,Booked,False,False,2026-01-02 20:12:00,,2026-01-06 00:00:00
T00051,2026-01-05 00:00:00,Natalie Castillo,Rates,Bond,Mclaughlin PLC,Sell,21858,93.688,2047832.3,Booked,False,False,2026-01-05 07:30:00,,2026-01-06 00:00:00
T00052,2026-01-05 00:00:00,Heather Garrett,Commodities,Option,Allen Morgan and Reed,Sell,236,411.95,97220.2,Booked,False,False,2026-01-05 10:20:00,,2026-01-06 00:00:00
T00053,2026-01-05 00:00:00,David Williams,Equities,Option,Foster Jones and Reed,Buy,219,981.51,214950.69,Booked,False,False,2026-01-05 10:21:00,,2026-01-06 00:00:00
T00054,2026-01-05 00:00:00,Margaret Arellano,Commodities,Swap,Chang-Peterson,Sell,44,980208.48,43129173.12,Booked,False,False,2026-01-05 10:38:00,,2026-01-07 00:00:00
T00055,2026-01-05 00:00:00,Courtney Wagner,Equities,Equity,Chang-Peterson,Buy,13324,148.38,1977015.12,Amended,True,False,2026-01-05 10:46:00,2026-01-21 21:00:00,2026-01-06 00:00:00
T00056,2026-01-05 00:00:00,Sarah Silva,Rates,Bond,Wall PLC,Buy,90142,100.811,9087305.16,Booked,False,False,2026-01-05 11:16:00,,2026-01-06 00:00:00
T00057,2026-01-05 00:00:00,Raymond Williams,FX,FX Forward,Chang-Peterson,Buy,2377121,0.8557,2034102.44,Booked,False,False,2026-01-05 11:47:00,,2026-03-04 00:00:00
T00058,2026-01-05 00:00:00,Raymond Williams,FX,Option,Anthony-Baker,Buy,1649,645.59,1064577.91,Booked,False,False,2026-01-05 12:19:00,,2026-01-06 00:00:00
T00059,2026-01-05 00:00:00,Kevin Gutierrez,Equities,Option,Fernandez-Ferguson,Sell,646,1193.59,771059.14,Booked,False,False,2026-01-05 12:24:00,,2026-01-06 00:00:00
T00060,2026-01-05 00:00:00,Courtney Wagner,Equities,Equity,Dominguez and Sons,Sell,5658,14.11,79834.38,Booked,False,False,2026-01-05 12:32:00,,2026-01-06 00:00:00
T00061,2026-01-05 00:00:00,Raymond Williams,FX,FX Forward,Wright and Sons,Sell,2592455,1.5436,4001713.54,Booked,False,False,2026-01-05 12:52:00,,2026-02-03 00:00:00
T00062,2026-01-05 00:00:00,Sarah Silva,Rates,Bond,Mcconnell-Fisher,Sell,9983,92.067,919104.86,Booked,False,False,2026-01-05 13:04:00,,2026-01-06 00:00:00
T00063,2026-01-05 00:00:00,Pamela Hahn,FX,FX Forward,Foster Jones and Reed,Buy,3467565,0.8255,2862474.91,Cancelled,True,True,2026-01-05 13:20:00,2026-01-15 13:46:00,2026-03-04 00:00:00
T00064,2026-01-05 00:00:00,Tracy Hayes,Rates,Bond,Foster Jones and Reed,Sell,151402,93.787,14199539.37,Booked,False,False,2026-01-05 13:35:00,,2026-01-06 00:00:00
T00065,2026-01-05 00:00:00,Heather Garrett,Commodities,Swap,Mcconnell-Fisher,Sell,34,934800.01,31783200.34,Booked,False,False,2026-01-05 13:47:00,,2026-01-07 00:00:00
T00066,2026-01-05 00:00:00,Pamela Hahn,FX,FX Forward,Allen Morgan and Reed,Sell,978417,1.1943,1168523.42,Booked,False,False,2026-01-05 13:55:00,,2026-02-03 00:00:00
T00067,2026-01-05 00:00:00,Pamela Hahn,FX,FX Forward,Lam-Gonzalez,Sell,1013239,1.136,1151039.5,Booked,False,False,2026-01-05 14:06:00,,2026-04-02 00:00:00
T00068,2026-01-05 00:00:00,Eddie Hernandez,Credit,Bond,Mcconnell-Fisher,Buy,51376,94.272,4843318.27,Cancelled,True,True,2026-01-05 14:10:00,2026-01-05 14:55:00,2026-01-06 00:00:00
T00069,2026-01-05 00:00:00,Pamela Hahn,FX,FX Forward,Larsen Ray and Young,Sell,6606599,1.2055,7964255.09,Booked,False,False,2026-01-05 14:34:00,,2026-04-02 00:00:00
T00070,2026-01-05 00:00:00,Natalie Castillo,Rates,Bond,Lam-Gonzalez,Buy,26680,96.281,2568777.08,Booked,False,False,2026-01-05 15:07:00,,2026-01-06 00:00:00
T00071,2026-01-05 00:00:00,Courtney Wagner,Equities,Option,Mclaughlin PLC,Buy,901,1202.59,1083533.59,Booked,False,False,2026-01-05 15:20:00,,2026-01-06 00:00:00
T00072,2026-01-05 00:00:00,Heather Garrett,Commodities,Swap,Bishop LLC,Buy,11,253435.38,2787789.18,Booked,False,False,2026-01-05 15:46:00,,2026-01-07 00:00:00
T00073,2026-01-05 00:00:00,Tracy Hayes,Rates,Bond,Bishop LLC,Sell,14114,99.972,1411004.81,Booked,False,False,2026-01-05 16:15:00,,2026-01-06 00:00:00
T00074,2026-01-05 00:00:00,Raymond Williams,FX,Option,Crawford-Garrett,Sell,359,614.21,220501.39,Booked,False,False,2026-01-05 16:37:00,,2026-01-06 00:00:00
T00075,2026-01-05 00:00:00,Dylan Lopez,FX,FX Forward,Larsen Ray and Young,Sell,1314543,1.1091,1457959.64,Booked,False,False,2026-01-05 16:50:00,,2026-04-02 00:00:00
T00076,2026-01-05 00:00:00,Natalie Castillo,Rates,Bond,Fernandez-Ferguson,Sell,79552,107.269,8533463.49,Booked,False,False,2026-01-05 16:51:00,,2026-01-06 00:00:00
T00077,2026-01-06 00:00:00,Sarah Silva,Rates,Bond,Anthony-Baker,Sell,7467,105.707,789314.17,Booked,False,False,2026-01-06 08:47:00,,2026-01-07 00:00:00
T00078,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Chang-Peterson,Sell,7510,401.41,3014589.1,Booked,False,False,2026-01-06 09:13:00,,2026-01-07 00:00:00
T00079,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Crawford-Garrett,Sell,14579,140.39,2046745.81,Booked,False,False,2026-01-06 09:54:00,,2026-01-07 00:00:00
T00080,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Mclaughlin PLC,Buy,5232,312.61,1635575.52,Booked,False,False,2026-01-06 10:31:00,,2026-01-07 00:00:00
T00081,2026-01-06 00:00:00,Joshua Stevenson,Credit,Bond,Larsen Ray and Young,Buy,42283,110.47,4671003.01,Booked,False,False,2026-01-06 11:19:00,,2026-01-07 00:00:00
T00082,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Wright and Sons,Buy,13839,307.01,4248711.39,Booked,False,False,2026-01-06 11:55:00,,2026-01-07 00:00:00
T00083,2026-01-06 00:00:00,Joshua Stevenson,Credit,Bond,Chang-Peterson,Buy,38986,94.474,3683163.36,Booked,False,False,2026-01-06 12:01:00,,2026-01-07 00:00:00
T00084,2026-01-06 00:00:00,Sarah Silva,Rates,Swap,Lam-Gonzalez,Sell,7,515280.53,3606963.71,Booked,False,False,2026-01-06 12:21:00,,2026-01-08 00:00:00
T00085,2026-01-06 00:00:00,Sarah Silva,Rates,Bond,Wall PLC,Sell,16805,94.627,1590206.74,Amended,True,False,2026-01-06 13:04:00,2026-01-06 13:49:00,2026-01-07 00:00:00
T00086,2026-01-06 00:00:00,Kevin Gutierrez,Equities,Equity,Chang-Peterson,Buy,7485,271.51,2032252.35,Booked,False,False,2026-01-06 13:11:00,,2026-01-07 00:00:00
T00087,2026-01-06 00:00:00,Raymond Williams,FX,Option,Lee PLC,Buy,2217,454.93,1008579.81,Booked,False,False,2026-01-06 13:14:00,,2026-01-07 00:00:00
T00088,2026-01-06 00:00:00,Tracy Hayes,Rates,Swap,Larsen Ray and Young,Buy,19,917424.89,17431072.91,Amended,True,False,2026-01-06 13:28:00,2026-01-06 23:00:00,2026-01-08 00:00:00
T00089,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Stanton-Wilkinson,Buy,9011,478.44,4311222.84,Booked,False,False,2026-01-06 13:38:00,,2026-01-07 00:00:00
T00090,2026-01-06 00:00:00,Raymond Williams,FX,FX Forward,Fernandez-Ferguson,Sell,692893,1.5064,1043774.02,Booked,False,False,2026-01-06 13:41:00,,2026-04-03 00:00:00
T00091,2026-01-06 00:00:00,Pamela Hahn,FX,Option,Ellis Group,Buy,647,836.71,541351.37,Booked,False,False,2026-01-06 13:44:00,,2026-01-07 00:00:00
T00092,2026-01-06 00:00:00,Dylan Lopez,FX,FX Forward,Chang-Peterson,Buy,2669425,1.6111,4300710.62,Booked,False,False,2026-01-06 14:11:00,,2026-02-04 00:00:00
T00093,2026-01-06 00:00:00,Raymond Williams,FX,FX Forward,Dominguez and Sons,Sell,12784535,1.4577,18636016.67,Booked,False,False,2026-01-06 14:14:00,,2026-02-04 00:00:00
T00094,2026-01-06 00:00:00,Raymond Williams,FX,FX Forward,Larsen Ray and Young,Buy,1322731,1.6018,2118750.52,Booked,False,False,2026-01-06 15:09:00,,2026-03-05 00:00:00
T00095,2026-01-06 00:00:00,Sarah Silva,Rates,Bond,Wright and Sons,Sell,22507,96.57,2173500.99,Booked,False,False,2026-01-06 15:48:00,,2026-01-07 00:00:00
T00096,2026-01-06 00:00:00,Tracy Hayes,Rates,Swap,Stanton-Wilkinson,Sell,9,386934.93,3482414.37,Booked,False,False,2026-01-06 15:51:00,,2026-01-08 00:00:00
T00097,2026-01-06 00:00:00,Courtney Wagner,Equities,Equity,Mcconnell-Fisher,Buy,74469,425.02,31650814.38,Booked,False,False,2026-01-06 16:27:00,,2026-01-07 00:00:00
T00098,2026-01-06 00:00:00,Sarah Silva,Rates,Swap,Mclaughlin PLC,Buy,23,659694.53,15172974.19,Booked,False,False,2026-01-06 16:57:00,,2026-01-08 00:00:00
T00099,2026-01-06 00:00:00,Raymond Williams,FX,FX Forward,Miranda and Sons,Buy,1908672,0.9678,1847212.76,Booked,False,False,2026-01-06 17:14:00,,2026-03-05 00:00:00
T00100,2026-01-06 00:00:00,Raymond Williams,FX,FX Forward,Crawford-Garrett,Buy,1770060,1.374,2432062.44,Booked,False,False,2026-01-06 19:06:00,,2026-03-05 00:00:00
T00101,2026-01-07 00:00:00,Raymond Williams,FX,FX Forward,Miranda and Sons,Sell,3488589,1.0794,3765582.97,Amended,True,False,2026-01-07 08:26:00,2026-01-07 14:16:00,2026-02-05 00:00:00
T00102,2026-01-07 00:00:00,Sarah Silva,Rates,Swap,Miranda and Sons,Buy,56,989856.5,55431964.0,Booked,False,False,2026-01-07 09:46:00,,2026-01-09 00:00:00
T00103,2026-01-07 00:00:00,Sarah Silva,Rates,Bond,Chang-Peterson,Sell,9014,107.933,972908.06,Booked,False,False,2026-01-07 10:03:00,,2026-01-08 00:00:00
T00104,2026-01-07 00:00:00,Joshua Stevenson,Credit,Swap,Stanton-Wilkinson,Buy,13,496380.1,6452941.3,Booked,False,False,2026-01-07 10:15:00,,2026-01-09 00:00:00
T00105,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Mclaughlin PLC,Sell,5,282812.01,1414060.05,Booked,False,False,2026-01-07 10:33:00,,2026-01-09 00:00:00
T00106,2026-01-07 00:00:00,Margaret Arellano,Commodities,Swap,Powell Clark and Lopez,Buy,21,744152.89,15627210.69,Amended,True,False,2026-01-07 10:43:00,2026-01-08 16:33:00,2026-01-09 00:00:00
T00107,2026-01-07 00:00:00,Natalie Castillo,Rates,Swap,Ellis Group,Sell,23,282461.17,6496606.91,Booked,False,False,2026-01-07 10:49:00,,2026-01-09 00:00:00
T00108,2026-01-07 00:00:00,Heather Garrett,Commodities,Swap,Ellis Group,Buy,33,320805.62,10586585.46,Booked,False,False,2026-01-07 11:55:00,,2026-01-09 00:00:00
T00109,2026-01-07 00:00:00,Pamela Hahn,FX,FX Forward,Anthony-Baker,Buy,1037304,0.9889,1025789.93,Booked,False,False,2026-01-07 12:02:00,,2026-02-05 00:00:00
T00110,2026-01-07 00:00:00,Pamela Hahn,FX,Option,Fernandez-Ferguson,Buy,105865,206.97,21910879.05,Booked,False,False,2026-01-07 12:10:00,,2026-01-08 00:00:00
T00111,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Fernandez-Ferguson,Sell,27,839661.02,22670847.54,Cancelled,True,True,2026-01-07 12:22:00,2026-01-07 17:03:00,2026-01-09 00:00:00
T00112,2026-01-07 00:00:00,Natalie Castillo,Rates,Swap,Crawford-Garrett,Buy,19,849049.29,16131936.51,Booked,False,False,2026-01-07 12:23:00,,2026-01-09 00:00:00
T00113,2026-01-07 00:00:00,Joshua Stevenson,Credit,Bond,Bishop LLC,Sell,82797,90.356,7481205.73,Booked,False,False,2026-01-07 12:24:00,,2026-01-08 00:00:00
T00114,2026-01-07 00:00:00,Joshua Stevenson,Credit,Bond,Chang-Peterson,Sell,31891,95.106,3033025.45,Booked,False,False,2026-01-07 12:34:00,,2026-01-08 00:00:00
T00115,2026-01-07 00:00:00,Raymond Williams,FX,FX Forward,Wall PLC,Sell,3384184,1.4251,4822800.62,Booked,False,False,2026-01-07 12:47:00,,2026-03-06 00:00:00
T00116,2026-01-07 00:00:00,Natalie Castillo,Rates,Swap,Chang-Peterson,Sell,9,921666.55,8294998.95,Booked,False,False,2026-01-07 12:48:00,,2026-01-09 00:00:00
T00117,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Mclaughlin PLC,Sell,3,763166.03,2289498.09,Booked,False,False,2026-01-07 13:11:00,,2026-01-09 00:00:00
T00118,2026-01-07 00:00:00,Eddie Hernandez,Credit,Bond,Lee PLC,Buy,24621,106.636,2625484.96,Amended,True,False,2026-01-07 13:11:00,2026-01-07 15:00:00,2026-01-08 00:00:00
T00119,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Mclaughlin PLC,Buy,12,692237.99,8306855.88,Booked,False,False,2026-01-07 13:11:00,,2026-01-09 00:00:00
T00120,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Mcconnell-Fisher,Buy,16,944432.18,15110914.88,Booked,False,False,2026-01-07 13:25:00,,2026-01-09 00:00:00
T00121,2026-01-07 00:00:00,Joshua Stevenson,Credit,Swap,Crawford-Garrett,Sell,7,884582.55,6192077.85,Booked,False,False,2026-01-07 13:44:00,,2026-01-09 00:00:00
T00122,2026-01-07 00:00:00,Sarah Silva,Rates,Swap,Larsen Ray and Young,Sell,20,523347.78,10466955.6,Booked,False,False,2026-01-07 13:56:00,,2026-01-09 00:00:00
T00123,2026-01-07 00:00:00,Margaret Arellano,Commodities,Swap,Larsen Ray and Young,Buy,10,575495.87,5754958.7,Booked,False,False,2026-01-07 13:56:00,,2026-01-09 00:00:00
T00124,2026-01-07 00:00:00,Courtney Wagner,Equities,Equity,Chang-Peterson,Sell,1713,429.45,735647.85,Booked,False,False,2026-01-07 14:07:00,,2026-01-08 00:00:00
T00125,2026-01-07 00:00:00,Raymond Williams,FX,FX Forward,Chang-Peterson,Sell,1189843,1.4835,1765132.09,Booked,False,False,2026-01-07 14:16:00,,2026-02-05 00:00:00
T00126,2026-01-07 00:00:00,Pamela Hahn,FX,FX Forward,Mclaughlin PLC,Buy,1368777,0.8791,1203291.86,Booked,False,False,2026-01-07 14:35:00,,2026-03-06 00:00:00
T00127,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Wright and Sons,Sell,5,690359.06,3451795.3,Booked,False,False,2026-01-07 14:47:00,,2026-01-09 00:00:00
T00128,2026-01-07 00:00:00,Joshua Wilson,Commodities,Option,Ellis Group,Sell,604,216.49,130759.96,Amended,True,False,2026-01-07 15:00:00,2026-01-21 13:28:00,2026-01-08 00:00:00
T00129,2026-01-07 00:00:00,Tracy Hayes,Rates,Bond,Dominguez and Sons,Sell,38435,93.956,3611198.86,Booked,False,False,2026-01-07 15:07:00,,2026-01-08 00:00:00
T00130,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Foster Jones and Reed,Buy,27,527924.16,14253952.32,Booked,False,False,2026-01-07 15:45:00,,2026-01-09 00:00:00
T00131,2026-01-07 00:00:00,Natalie Castillo,Rates,Swap,Sullivan-Baxter,Sell,20,741718.94,14834378.8,Booked,False,False,2026-01-07 15:59:00,,2026-01-09 00:00:00
T00132,2026-01-07 00:00:00,Tracy Hayes,Rates,Swap,Crawford-Garrett,Buy,13,804728.1,10461465.3,Booked,False,False,2026-01-07 16:51:00,,2026-01-09 00:00:00
T00133,2026-01-07 00:00:00,Courtney Wagner,Equities,Equity,Nguyen Group,Buy,1100,58.06,63866.0,Booked,False,False,2026-01-07 16:59:00,,2026-01-08 00:00:00
T00134,2026-01-07 00:00:00,Courtney Wagner,Equities,Option,Fernandez-Ferguson,Sell,1200,204.47,245364.0,Booked,False,False,2026-01-07 17:41:00,,2026-01-08 00:00:00
T00135,2026-01-08 00:00:00,Tracy Hayes,Rates,Swap,Chang-Peterson,Buy,45,583038.93,26236751.85,Booked,False,False,2026-01-08 09:22:00,,2026-01-12 00:00:00
T00136,2026-01-08 00:00:00,Tracy Hayes,Rates,Bond,Chang-Peterson,Sell,27213,91.816,2498588.81,Booked,False,False,2026-01-08 09:28:00,,2026-01-09 00:00:00
T00137,2026-01-08 00:00:00,Tracy Hayes,Rates,Bond,Chang-Peterson,Sell,100873,92.405,9321169.56,Amended,True,False,2026-01-08 11:42:00,2026-01-19 10:37:00,2026-01-09 00:00:00
T00138,2026-01-08 00:00:00,Courtney Wagner,Equities,Equity,Mitchell-Rodgers,Buy,5475,216.1,1183147.5,Booked,False,False,2026-01-08 11:45:00,,2026-01-09 00:00:00
T00139,2026-01-08 00:00:00,Natalie Castillo,Rates,Bond,Fernandez-Ferguson,Sell,25228,92.119,2323978.13,Booked,False,False,2026-01-08 12:08:00,,2026-01-09 00:00:00
T00140,2026-01-08 00:00:00,Eddie Hernandez,Credit,Bond,Anthony-Baker,Sell,34243,94.76,3244866.68,Booked,False,False,2026-01-08 12:18:00,,2026-01-09 00:00:00
T00141,2026-01-08 00:00:00,Sarah Silva,Rates,Bond,Anthony-Baker,Buy,11778,103.223,1215760.49,Booked,False,False,2026-01-08 13:13:00,,2026-01-09 00:00:00
